Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.008064,0.0000,0.3753,105.25
1,0.004600,0.0000,0.3753,73.85
2,0.004011,0.0000,0.3753,74.73
3,0.003901,0.0000,0.3753,73.90
4,0.003786,0.0000,0.3753,74.13
5,0.003707,0.0000,0.3753,103.68
6,0.003637,0.0000,0.3753,74.31
7,0.000542,0.0000,0.2333,35.87
8,0.001097,0.0000,0.2667,45.05
9,0.001917,0.0000,0.3000,54.58
10,0.002738,0.0000,0.3333,943.21
11,0.000333,0.0000,0.3667,105.88
12,0.000344,0.0000,0.4000,106.59
13,0.000507,0.0000,0.4333,106.41
14,0.000728,0.0000,0.4667,107.34
15,0.000981,0.0000,0.5000,137.31
16,0.001283,0.0000,0.5333,108.03
17,0.001606,0.0000,0.5667,107.38
18,0.001949,0.0000,0.6000,107.22
19,0.002271,0.0000,0.6333,107.68
20,0.002595,0.0000,0.6667,985.12
21,0.001358,0.0000,0.7000,107.10
22,0.001521,0.0000,0.7333,107.73
23,0.001682,0.0000,0.7667,107.64
24,0.001847,0.0000,0.8000,108.68
25,0.002000,0.0000,0.8333,137.61
26,0.002145,0.0000,0.8667,107.55
27,0.002298,0.0000,0.9000,109.06
28,0.002444,0.0000,0.9333,107.97
29,0.002551,0.0000,0.9667,107.96
30,0.015853,0.0000,1.0000,976.25
31,0.013151,0.0000,1.0000,100.27
32,0.012293,0.0000,1.0000,100.64
33,0.011536,0.0000,1.0000,100.12
34,0.010925,0.0000,1.0000,130.00
