Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.012748,0.0000,0.2250,23.16
1,0.002681,0.0000,0.2250,19.00
2,0.002691,0.0000,0.2250,19.45
3,0.001819,0.0000,0.1000,8.58
4,0.001830,0.0000,0.1333,12.12
5,0.001832,0.0000,0.1667,17.42
6,0.002382,0.0000,0.2000,17.17
7,0.002211,0.0000,0.2333,19.56
8,0.002198,0.0000,0.2667,20.10
9,0.001978,0.0000,0.3000,20.45
10,0.001913,0.0000,0.3333,186.47
11,0.002063,0.0000,0.3667,20.46
12,0.001469,0.0000,0.4000,21.04
13,0.001541,0.0000,0.4333,20.93
14,0.001814,0.0000,0.4667,21.48
15,0.001898,0.0000,0.5000,23.58
16,0.001800,0.0000,0.5333,20.63
17,0.001746,0.0000,0.5667,21.12
18,0.001768,0.0000,0.6000,21.25
19,0.001882,0.0000,0.6333,21.16
20,0.001993,0.0000,0.6667,186.59
21,0.001719,0.0000,0.7000,21.40
22,0.002036,0.0000,0.7333,21.42
23,0.002401,0.0000,0.7667,21.37
24,0.002309,0.0000,0.8000,21.33
25,0.002255,0.0000,0.8333,23.89
26,0.002380,0.0000,0.8667,21.32
27,0.002123,0.0000,0.9000,21.61
28,0.002454,0.0000,0.9333,21.43
29,0.002629,0.0000,0.9666,21.45
30,0.003002,0.0000,1.0000,183.73
31,0.002789,0.0000,1.0000,17.13
32,0.002728,0.0000,1.0000,17.38
33,0.002701,0.0000,1.0000,17.41
34,0.002743,0.0000,1.0000,19.74
