Epoch,Active_Samples_K,Total_Samples,Data_Percentage,Max_Hardness_Included
0,6437016,21456720,30.00,0.3001
1,6437016,21456720,30.00,0.3001
2,1430186,21456720,6.67,0.0667
3,2144753,21456720,10.00,0.1000
4,2859694,21456720,13.33,0.1333
5,3573561,21456720,16.65,0.1667
6,4288772,21456720,19.99,0.2000
7,5004865,21456720,23.33,0.2333
8,5719245,21456720,26.65,0.2667
9,6435591,21456720,29.99,0.3000
10,7150572,21456720,33.33,0.3333
11,7869061,21456720,36.67,0.3667
12,8584667,21456720,40.01,0.4000
13,9300016,21456720,43.34,0.4333
14,10015668,21456720,46.68,0.4667
15,10731062,21456720,50.01,0.5000
16,11446048,21456720,53.34,0.5333
17,12160816,21456720,56.68,0.5667
18,12875873,21456720,60.01,0.6000
19,13590923,21456720,63.34,0.6333
20,14306759,21456720,66.68,0.6667
21,15021077,21456720,70.01,0.7000
22,15736356,21456720,73.34,0.7333
23,16451459,21456720,76.67,0.7667
24,17167054,21456720,80.01,0.8000
25,17881146,21456720,83.34,0.8333
26,18594651,21456720,86.66,0.8667
27,19310670,21456720,90.00,0.9000
28,20025181,21456720,93.33,0.9333
29,20740628,21456720,96.66,0.9667
30,21456720,21456720,100.00,1.0000
31,21456720,21456720,100.00,1.0000
32,21456720,21456720,100.00,1.0000
33,21456720,21456720,100.00,1.0000
34,21456720,21456720,100.00,1.0000
35,21456720,21456720,100.00,1.0000
36,21456720,21456720,100.00,1.0000
37,21456720,21456720,100.00,1.0000
38,21456720,21456720,100.00,1.0000
39,21456720,21456720,100.00,1.0000
40,21456720,21456720,100.00,1.0000
41,21456720,21456720,100.00,1.0000
42,21456720,21456720,100.00,1.0000
43,21456720,21456720,100.00,1.0000
44,21456720,21456720,100.00,1.0000
45,21456720,21456720,100.00,1.0000
46,21456720,21456720,100.00,1.0000
47,21456720,21456720,100.00,1.0000
48,21456720,21456720,100.00,1.0000
49,21456720,21456720,100.00,1.0000
