Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001325,0.0000,0.1194,208.35
1,0.004477,0.0000,0.1194,158.58
2,0.002074,0.0000,0.0667,103.93
3,0.002050,0.0000,0.1000,150.61
4,0.005953,0.0000,0.1333,154.94
5,0.010254,0.0000,0.1667,197.72
6,0.015625,0.0000,0.2000,155.90
7,0.020880,0.0000,0.2333,157.87
8,0.028362,0.0000,0.2667,158.89
9,0.039485,0.0000,0.3000,159.40
10,0.052905,0.0000,0.3333,1568.28
11,0.030488,0.0000,0.3667,159.09
12,0.036573,0.0000,0.4000,159.78
13,0.045800,0.0000,0.4333,160.39
14,0.056995,0.0000,0.4667,160.63
15,0.067393,0.0000,0.5000,203.82
16,0.078955,0.0000,0.5333,162.38
17,0.091269,0.0000,0.5667,161.78
18,0.104708,0.0000,0.6000,162.29
19,0.127330,0.0000,0.6333,162.35
20,0.140752,0.0000,0.6667,1569.56
21,0.153560,0.0000,0.7000,162.12
22,0.167388,0.0000,0.7333,162.16
23,0.185957,0.0000,0.7667,161.89
24,0.196646,0.0000,0.8000,162.03
25,0.217215,0.0000,0.8333,205.03
26,0.221747,0.0000,0.8667,162.32
27,0.236506,0.0000,0.9000,163.18
28,0.536496,0.0000,0.9333,163.55
29,0.548817,0.0000,0.9667,163.42
30,0.694894,0.0000,1.0000,1545.85
31,0.694918,0.0000,1.0000,143.97
32,0.694918,0.0000,1.0000,144.02
33,0.694918,0.0000,1.0000,143.86
34,0.694918,0.0000,1.0000,144.07
35,0.694918,0.0000,1.0000,187.54
36,0.694918,0.0000,1.0000,145.06
37,0.694918,0.0000,1.0000,145.25
38,0.694918,0.0000,1.0000,144.60
39,0.694918,0.0000,1.0000,144.37
40,0.694918,0.0000,1.0000,1550.84
41,0.694918,0.0000,1.0000,144.45
42,0.694918,0.0000,1.0000,144.53
43,0.694918,0.0000,1.0000,144.72
44,0.694918,0.0000,1.0000,144.64
45,0.694918,0.0000,1.0000,187.73
46,0.694918,0.0000,1.0000,144.36
47,0.694918,0.0000,1.0000,144.77
48,0.694918,0.0000,1.0000,144.60
49,0.694918,0.0000,1.0000,187.85
