Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001505,0.0000,0.1127,178.66
1,0.003670,0.0000,0.1127,134.80
2,0.003672,0.0000,0.1127,134.37
3,0.002216,0.0000,0.1000,130.46
4,0.006647,0.0000,0.1333,131.54
5,0.012585,0.0000,0.1667,169.62
6,0.018941,0.0000,0.2000,132.49
7,0.023956,0.0000,0.2333,133.93
8,0.031848,0.0000,0.2667,135.12
9,0.043353,0.0000,0.3000,135.38
10,0.056954,0.0000,0.3333,1501.06
11,0.029938,0.0000,0.3667,133.86
12,0.036221,0.0000,0.4000,134.77
13,0.045274,0.0000,0.4333,134.72
14,0.055569,0.0000,0.4667,135.21
15,0.066534,0.0000,0.5000,173.29
16,0.078603,0.0000,0.5333,135.96
17,0.090804,0.0000,0.5667,136.28
18,0.104253,0.0000,0.6000,136.94
19,0.126377,0.0000,0.6333,137.54
20,0.140522,0.0000,0.6667,1499.99
21,0.153526,0.0000,0.7000,138.10
22,0.167347,0.0000,0.7333,138.34
23,0.185750,0.0000,0.7667,138.61
24,0.196383,0.0000,0.8000,138.50
25,0.217040,0.0000,0.8333,176.41
26,0.221561,0.0000,0.8667,138.78
27,0.236589,0.0000,0.9000,138.77
28,0.536629,0.0000,0.9333,139.12
29,0.548901,0.0000,0.9667,138.99
30,0.695112,0.0000,1.0000,1483.93
31,0.695135,0.0000,1.0000,120.45
32,0.695135,0.0000,1.0000,120.58
33,0.695135,0.0000,1.0000,120.64
34,0.695135,0.0000,1.0000,158.87
