Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001830,0.0000,0.1220,185.55
1,0.004728,0.0000,0.1220,140.58
2,0.002052,0.0000,0.0667,91.14
3,0.002470,0.0000,0.1000,131.69
4,0.006121,0.0000,0.1333,136.38
5,0.010222,0.0000,0.1667,175.11
6,0.015543,0.0000,0.2000,137.40
7,0.020666,0.0000,0.2333,139.32
8,0.028228,0.0000,0.2667,140.75
9,0.039420,0.0000,0.3000,141.74
10,0.052692,0.0000,0.3333,1570.48
11,0.030368,0.0000,0.3667,139.58
12,0.036551,0.0000,0.4000,140.24
13,0.045590,0.0000,0.4333,140.76
14,0.056734,0.0000,0.4667,141.49
15,0.067302,0.0000,0.5000,180.30
16,0.078787,0.0000,0.5333,142.48
17,0.091256,0.0000,0.5667,142.38
18,0.104471,0.0000,0.6000,141.58
19,0.127075,0.0000,0.6333,141.94
20,0.140634,0.0000,0.6667,1529.56
21,0.153688,0.0000,0.7000,140.87
22,0.167325,0.0000,0.7333,140.43
23,0.185901,0.0000,0.7667,140.18
24,0.196478,0.0000,0.8000,140.40
25,0.217050,0.0000,0.8333,178.33
26,0.221670,0.0000,0.8667,140.74
27,0.236531,0.0000,0.9000,140.58
28,0.536590,0.0000,0.9333,140.79
29,0.548821,0.0000,0.9667,141.19
30,0.695112,0.0000,1.0000,1594.44
31,0.695135,0.0000,1.0000,135.76
32,0.695135,0.0000,1.0000,134.96
33,0.695135,0.0000,1.0000,134.12
34,0.695135,0.0000,1.0000,172.96
