Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.038586,0.0000,1.0000,173.09
1,0.007301,0.0000,1.0000,128.16
2,0.007863,0.0000,1.0000,128.56
3,0.007208,0.0000,1.0000,128.76
4,0.007204,0.0000,1.0000,129.61
5,0.007256,0.0000,1.0000,170.94
6,0.007109,0.0000,1.0000,128.96
7,0.007097,0.0000,1.0000,128.82
8,0.007060,0.0000,1.0000,129.75
9,0.007014,0.0000,1.0000,128.36
10,0.007188,0.0000,1.0000,171.23
11,0.006860,0.0000,1.0000,128.42
12,0.006787,0.0000,1.0000,127.94
13,0.006707,0.0000,1.0000,128.94
14,0.006677,0.0000,1.0000,128.88
15,0.006630,0.0000,1.0000,171.28
16,0.006993,0.0000,1.0000,128.44
17,0.006604,0.0000,1.0000,128.30
18,0.006614,0.0000,1.0000,128.84
19,0.006591,0.0000,1.0000,128.18
20,0.006570,0.0000,1.0000,170.86
21,0.006554,0.0000,1.0000,128.56
22,0.006562,0.0000,1.0000,128.11
23,0.006559,0.0000,1.0000,127.71
24,0.006571,0.0000,1.0000,127.91
25,0.006558,0.0000,1.0000,169.94
26,0.006543,0.0000,1.0000,127.74
27,0.006549,0.0000,1.0000,127.61
28,0.006557,0.0000,1.0000,128.17
29,0.006566,0.0000,1.0000,128.10
30,0.006559,0.0000,1.0000,170.04
31,0.006573,0.0000,1.0000,128.19
32,0.006552,0.0000,1.0000,128.04
33,0.006551,0.0000,1.0000,127.81
34,0.006590,0.0000,1.0000,170.03
