Epoch,Train_Loss,Val_AUC_PR,Max_Hardness,Time_Sec
0,0.001951,0.0000,0.1653,64.46
1,0.001146,0.0000,0.1653,45.21
2,0.000371,0.0000,0.0667,43.08
3,0.001761,0.0000,0.1000,42.98
4,0.005606,0.0000,0.1333,42.99
5,0.011564,0.0000,0.1667,57.74
6,0.019281,0.0000,0.2000,43.42
7,0.009226,0.0000,0.2333,44.37
8,0.002122,0.0000,0.2667,45.54
9,0.002214,0.0000,0.3000,45.55
10,0.002666,0.0000,0.3333,574.06
11,0.002516,0.0000,0.3667,47.56
12,0.002471,0.0000,0.4000,48.83
13,0.003003,0.0000,0.4333,48.92
14,0.003535,0.0000,0.4667,48.74
15,0.003984,0.0000,0.5000,63.50
16,0.004581,0.0000,0.5333,48.56
17,0.005198,0.0000,0.5667,48.10
18,0.006003,0.0000,0.6000,48.22
19,0.006723,0.0000,0.6333,48.61
20,0.008023,0.0000,0.6667,585.43
21,0.006720,0.0000,0.7000,48.35
22,0.011307,0.0000,0.7333,48.89
23,0.011063,0.0000,0.7667,48.52
24,0.018250,0.0000,0.8000,49.11
25,0.018532,0.0000,0.8333,64.12
26,0.020857,0.0000,0.8667,48.68
27,0.022247,0.0000,0.9000,48.83
28,0.022692,0.0000,0.9333,48.65
29,0.022893,0.0000,0.9667,48.57
30,0.045341,0.0000,1.0000,579.80
31,0.045255,0.0000,1.0000,42.38
32,0.045198,0.0000,1.0000,42.58
33,0.045311,0.0000,1.0000,42.48
34,0.045269,0.0000,1.0000,57.70
